payment_id,invoice_id,agency_id,payment_date,payment_amount
PAY-0001,INV-0001,A01,2026-07-12,1399.58
PAY-0002,INV-0002,A01,2026-07-28,1399.58
PAY-0003,INV-0003,A01,2026-08-27,1399.58
PAY-0004,INV-0004,A08,2026-07-18,392.5
PAY-0005,INV-0005,A08,2026-09-03,533.17
PAY-0006,INV-0007,A07,2026-07-20,4041.17
PAY-0007,INV-0008,A07,2026-07-30,4041.17
PAY-0008,INV-0009,A07,2026-08-27,4041.17
PAY-0009,INV-0010,A05,2026-08-16,3491.83
PAY-0010,INV-0011,A05,2026-07-27,3491.83
PAY-0011,INV-0012,A05,2026-08-27,3491.83
PAY-0012,INV-0013,A05,2026-06-27,3673.25
PAY-0013,INV-0014,A05,2026-07-31,3673.25
PAY-0014,INV-0015,A05,2026-08-27,3673.25
PAY-0015,INV-0016,A09,2026-07-02,3123.63
PAY-0016,INV-0017,A09,2026-08-07,3400.83
PAY-0017,INV-0018,A09,2026-09-02,2781.59
PAY-0018,INV-0019,A01,2026-06-27,2565.08
PAY-0019,INV-0020,A01,2026-07-31,2565.08
PAY-0020,INV-0021,A01,2026-08-27,2565.08
PAY-0021,INV-0022,A07,2026-08-25,3059.33
PAY-0022,INV-0023,A07,2026-07-29,3059.33
PAY-0023,INV-0024,A07,2026-09-14,3059.33
PAY-0024,INV-0025,A03,2026-07-01,1129.08
PAY-0025,INV-0026,A03,2026-07-30,1129.08
PAY-0026,INV-0027,A03,2026-08-29,1129.08
PAY-0027,INV-0028,A01,2026-07-01,1015.42
PAY-0028,INV-0029,A01,2026-07-29,1015.42
PAY-0029,INV-0030,A01,2026-08-31,1015.42
PAY-0030,INV-0031,A06,2026-06-29,3507.83
PAY-0031,INV-0032,A06,2026-07-31,2162.99
PAY-0032,INV-0033,A06,2026-09-15,3507.83
PAY-0033,INV-0034,A10,2026-07-15,2619.92
PAY-0034,INV-0036,A10,2026-08-31,2619.92
PAY-0035,INV-0037,A08,2026-07-09,2447.69
PAY-0036,INV-0038,A08,2026-09-06,3043.58
PAY-0037,INV-0040,A08,2026-06-30,3942.5
PAY-0038,INV-0043,A08,2026-07-20,2894.77
PAY-0039,INV-0044,A08,2026-09-01,3356.25
PAY-0040,INV-0046,A08,2026-06-27,2991.08
PAY-0041,INV-0047,A08,2026-07-29,2991.08
PAY-0042,INV-0048,A08,2026-09-07,2991.08
PAY-0043,INV-0049,A06,2026-08-02,3016.42
PAY-0044,INV-0050,A06,2026-07-31,3016.42
